# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
NOEYYRYH;60;2017-08-08 00:38:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:39:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:40:02 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;59;2017-08-08 00:41:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:42:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:43:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:44:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:45:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:46:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:47:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:48:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:49:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:50:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:51:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:52:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:53:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:54:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:55:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:56:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:57:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:58:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:59:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:00:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:01:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:02:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:03:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:04:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:05:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:06:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:07:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:08:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:09:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:10:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:11:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:12:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:13:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:14:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:15:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:16:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:17:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:18:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:19:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:20:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:21:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:22:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:23:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:24:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:25:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:26:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:27:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:28:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:29:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:30:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:31:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:32:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:33:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:34:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:35:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:36:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:37:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:38:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:39:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:40:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:41:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:42:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:43:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:44:02 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;59;2017-08-08 01:45:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:46:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:47:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:48:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:49:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:50:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:51:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:52:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:53:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:54:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:55:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:56:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:57:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:58:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 01:59:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:00:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:01:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:02:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:03:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:04:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:05:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:06:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:07:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:08:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:09:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:10:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:11:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:12:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:13:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:14:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:15:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:16:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:17:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:18:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:19:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:20:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:21:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:22:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:23:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:24:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:25:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:26:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:27:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:28:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:29:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:30:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:31:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:32:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:33:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:34:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:35:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:36:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:37:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:38:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:39:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:40:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:41:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:42:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:43:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:44:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:45:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:46:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:47:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:48:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:49:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:50:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:51:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:52:02 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;59;2017-08-08 02:53:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:54:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:55:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:56:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:57:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:58:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 02:59:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:00:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:01:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:02:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:03:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:04:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:05:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:06:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:07:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:08:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:09:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:10:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:11:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:12:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:13:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 03:14:01 UTC;2097008;140;0.01;0;0.00
