# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
NOEYYRYH;60;2017-08-09 00:43:01 UTC;153.29;1.22;152.07;17.34;2339.83
NOEYYRYH;60;2017-08-09 00:44:01 UTC;152.14;0.07;152.07;0.53;2342.61
NOEYYRYH;60;2017-08-09 00:45:01 UTC;150.60;0.00;150.60;0.00;2321.57
NOEYYRYH;60;2017-08-09 00:46:01 UTC;149.35;0.00;149.35;0.00;2311.14
NOEYYRYH;60;2017-08-09 00:47:01 UTC;150.79;0.03;150.76;0.27;2323.83
NOEYYRYH;60;2017-08-09 00:48:01 UTC;151.26;0.00;151.26;0.00;2331.83
NOEYYRYH;60;2017-08-09 00:49:01 UTC;154.29;0.00;154.29;0.00;2364.24
NOEYYRYH;60;2017-08-09 00:50:01 UTC;148.90;0.00;148.90;0.00;2306.87
NOEYYRYH;60;2017-08-09 00:51:01 UTC;151.26;0.03;151.23;0.27;2328.34
NOEYYRYH;60;2017-08-09 00:52:01 UTC;149.64;0.00;149.64;0.00;2314.22
NOEYYRYH;60;2017-08-09 00:53:01 UTC;151.95;0.00;151.95;0.00;2337.58
NOEYYRYH;60;2017-08-09 00:54:01 UTC;152.12;0.00;152.12;0.00;2342.86
NOEYYRYH;60;2017-08-09 00:55:01 UTC;150.72;0.00;150.72;0.00;2322.91
NOEYYRYH;60;2017-08-09 00:56:01 UTC;219.34;0.17;219.18;49.09;3413.17
NOEYYRYH;60;2017-08-09 00:57:01 UTC;89.09;7.46;81.63;187.92;1228.70
NOEYYRYH;60;2017-08-09 00:58:01 UTC;151.76;0.00;151.76;0.00;2336.90
NOEYYRYH;60;2017-08-09 00:59:01 UTC;309.83;9.09;300.73;207.18;4662.64
NOEYYRYH;60;2017-08-09 01:00:01 UTC;80.37;0.00;80.37;0.00;1215.54
NOEYYRYH;60;2017-08-09 01:01:01 UTC;220.63;0.02;220.61;0.13;3427.62
NOEYYRYH;60;2017-08-09 01:02:01 UTC;99.48;18.34;81.15;478.54;1225.82
NOEYYRYH;60;2017-08-09 01:03:01 UTC;222.93;0.03;222.90;0.27;3454.30
NOEYYRYH;60;2017-08-09 01:04:01 UTC;83.00;0.07;82.94;0.53;1244.64
NOEYYRYH;60;2017-08-09 01:05:01 UTC;221.78;0.53;221.24;8.00;3434.25
NOEYYRYH;60;2017-08-09 01:06:01 UTC;79.36;0.00;79.36;0.00;1205.07
NOEYYRYH;60;2017-08-09 01:07:01 UTC;220.63;0.00;220.63;0.00;3427.45
NOEYYRYH;60;2017-08-09 01:08:01 UTC;81.89;0.00;81.89;0.00;1234.35
NOEYYRYH;60;2017-08-09 01:09:01 UTC;222.84;0.03;222.80;0.27;3452.74
NOEYYRYH;60;2017-08-09 01:10:01 UTC;83.95;3.13;80.82;43.47;1223.47
NOEYYRYH;60;2017-08-09 01:11:01 UTC;221.07;0.00;221.07;0.00;3432.34
NOEYYRYH;59;2017-08-09 01:12:01 UTC;81.57;0.56;81.01;8.41;1228.62
NOEYYRYH;60;2017-08-09 01:13:01 UTC;221.84;0.00;221.84;0.00;3442.97
NOEYYRYH;60;2017-08-09 01:14:01 UTC;82.43;0.00;82.43;0.00;1240.41
NOEYYRYH;60;2017-08-09 01:15:01 UTC;220.62;0.00;220.62;0.00;3426.70
NOEYYRYH;60;2017-08-09 01:16:01 UTC;80.04;0.00;80.04;0.00;1212.87
NOEYYRYH;60;2017-08-09 01:17:01 UTC;220.68;0.00;220.68;0.00;3427.89
NOEYYRYH;60;2017-08-09 01:18:01 UTC;81.92;0.00;81.92;0.00;1234.93
NOEYYRYH;60;2017-08-09 01:19:01 UTC;223.02;0.03;222.99;0.27;3454.35
NOEYYRYH;60;2017-08-09 01:20:01 UTC;10.27;0.00;10.27;0.00;113.12
NOEYYRYH;60;2017-08-09 01:21:01 UTC;290.03;0.00;290.03;0.00;4524.17
NOEYYRYH;60;2017-08-09 01:22:01 UTC;10.44;0.00;10.44;0.00;115.01
NOEYYRYH;60;2017-08-09 01:23:01 UTC;290.73;0.00;290.73;0.00;4533.51
NOEYYRYH;60;2017-08-09 01:24:01 UTC;14.08;0.00;14.08;0.00;155.44
NOEYYRYH;60;2017-08-09 01:25:01 UTC;290.20;0.00;290.20;0.00;4526.98
NOEYYRYH;60;2017-08-09 01:26:01 UTC;10.51;0.00;10.51;0.00;114.48
NOEYYRYH;60;2017-08-09 01:27:01 UTC;290.09;0.00;290.09;0.00;4524.62
NOEYYRYH;60;2017-08-09 01:28:01 UTC;12.64;0.00;12.64;0.00;138.45
NOEYYRYH;60;2017-08-09 01:29:01 UTC;291.71;0.00;291.71;0.00;4544.90
NOEYYRYH;60;2017-08-09 01:30:01 UTC;79.49;0.00;79.49;0.00;1206.94
NOEYYRYH;60;2017-08-09 01:31:01 UTC;220.68;0.03;220.64;0.27;3428.25
NOEYYRYH;60;2017-08-09 01:32:01 UTC;79.34;0.00;79.34;0.00;1206.47
NOEYYRYH;60;2017-08-09 01:33:01 UTC;222.30;0.03;222.27;0.27;3445.91
NOEYYRYH;60;2017-08-09 01:34:01 UTC;13.06;0.00;13.06;0.00;143.03
NOEYYRYH;60;2017-08-09 01:35:01 UTC;289.40;0.00;289.40;0.00;4521.82
NOEYYRYH;60;2017-08-09 01:36:01 UTC;10.85;0.00;10.85;0.00;117.77
NOEYYRYH;60;2017-08-09 01:37:01 UTC;289.68;0.00;289.68;0.00;4519.19
NOEYYRYH;60;2017-08-09 01:38:01 UTC;12.24;0.00;12.24;0.00;135.00
NOEYYRYH;60;2017-08-09 01:39:01 UTC;291.93;0.00;291.93;0.00;4547.57
NOEYYRYH;60;2017-08-09 01:40:01 UTC;10.64;0.00;10.64;0.00;116.32
NOEYYRYH;60;2017-08-09 01:41:01 UTC;289.98;0.18;289.80;1.60;4523.11
NOEYYRYH;60;2017-08-09 01:42:01 UTC;10.67;0.00;10.67;0.00;116.88
NOEYYRYH;60;2017-08-09 01:43:01 UTC;609.57;232.94;376.63;4438.67;5842.84
NOEYYRYH;60;2017-08-09 01:44:01 UTC;82.45;0.00;82.45;0.00;1242.16
NOEYYRYH;60;2017-08-09 01:45:01 UTC;220.79;0.00;220.79;0.00;3429.45
NOEYYRYH;60;2017-08-09 01:46:01 UTC;148.88;0.00;148.88;0.00;2305.27
NOEYYRYH;60;2017-08-09 01:47:01 UTC;151.65;0.00;151.65;0.00;2334.11
NOEYYRYH;60;2017-08-09 01:48:01 UTC;81.24;0.00;81.24;0.00;1227.34
NOEYYRYH;60;2017-08-09 01:49:01 UTC;222.93;0.00;222.93;0.00;3455.06
NOEYYRYH;60;2017-08-09 01:50:01 UTC;79.71;0.00;79.71;0.00;1209.47
NOEYYRYH;60;2017-08-09 01:51:01 UTC;221.09;0.03;221.05;0.27;3431.24
NOEYYRYH;60;2017-08-09 01:52:01 UTC;10.31;0.00;10.31;0.00;113.12
NOEYYRYH;60;2017-08-09 01:53:01 UTC;291.03;0.00;291.03;0.00;4536.71
NOEYYRYH;60;2017-08-09 01:54:01 UTC;13.49;0.00;13.49;0.00;148.29
NOEYYRYH;60;2017-08-09 01:55:01 UTC;290.36;0.00;290.36;0.00;4528.04
NOEYYRYH;60;2017-08-09 01:56:01 UTC;10.25;0.00;10.25;0.00;111.10
NOEYYRYH;60;2017-08-09 01:57:01 UTC;289.79;0.00;289.79;0.00;4521.86
NOEYYRYH;60;2017-08-09 01:58:01 UTC;12.63;0.00;12.63;0.00;138.49
NOEYYRYH;60;2017-08-09 01:59:01 UTC;291.58;0.00;291.58;0.00;4542.80
NOEYYRYH;60;2017-08-09 02:00:01 UTC;10.32;0.00;10.32;0.00;113.90
NOEYYRYH;60;2017-08-09 02:01:01 UTC;290.54;0.00;290.54;0.00;4530.31
NOEYYRYH;60;2017-08-09 02:02:01 UTC;11.59;0.00;11.59;0.00;126.29
NOEYYRYH;60;2017-08-09 02:03:01 UTC;290.96;0.00;290.96;0.00;4537.56
NOEYYRYH;60;2017-08-09 02:04:01 UTC;13.78;0.00;13.78;0.00;150.50
NOEYYRYH;60;2017-08-09 02:05:01 UTC;289.93;0.00;289.93;0.00;4523.55
NOEYYRYH;60;2017-08-09 02:06:01 UTC;10.32;0.00;10.32;0.00;113.64
NOEYYRYH;60;2017-08-09 02:07:01 UTC;289.91;0.00;289.91;0.00;4521.99
NOEYYRYH;60;2017-08-09 02:08:01 UTC;12.14;0.00;12.14;0.00;133.13
NOEYYRYH;60;2017-08-09 02:09:01 UTC;292.00;0.00;292.00;0.00;4548.94
NOEYYRYH;60;2017-08-09 02:10:01 UTC;10.92;0.00;10.92;0.00;117.91
NOEYYRYH;60;2017-08-09 02:11:01 UTC;290.51;0.00;290.51;0.00;4529.73
NOEYYRYH;60;2017-08-09 02:12:01 UTC;10.76;0.00;10.76;0.00;117.66
NOEYYRYH;60;2017-08-09 02:13:02 UTC;291.10;0.00;291.10;0.00;4537.51
NOEYYRYH;59;2017-08-09 02:14:01 UTC;13.90;0.00;13.90;0.00;153.00
NOEYYRYH;60;2017-08-09 02:15:01 UTC;290.16;0.00;290.16;0.00;4525.42
NOEYYRYH;60;2017-08-09 02:16:01 UTC;10.26;0.00;10.26;0.00;112.06
NOEYYRYH;60;2017-08-09 02:17:01 UTC;289.46;0.00;289.46;0.00;4519.81
NOEYYRYH;60;2017-08-09 02:18:01 UTC;12.51;0.00;12.51;0.00;136.33
NOEYYRYH;60;2017-08-09 02:19:01 UTC;292.53;0.00;292.53;0.00;4552.72
NOEYYRYH;60;2017-08-09 02:20:01 UTC;10.42;0.00;10.42;0.00;114.69
NOEYYRYH;60;2017-08-09 02:21:01 UTC;290.41;0.03;290.38;0.27;4530.49
NOEYYRYH;60;2017-08-09 02:22:01 UTC;11.17;0.00;11.17;0.00;119.81
NOEYYRYH;60;2017-08-09 02:23:01 UTC;291.05;0.00;291.05;0.00;4538.40
NOEYYRYH;60;2017-08-09 02:24:01 UTC;13.48;0.00;13.48;0.00;146.10
NOEYYRYH;60;2017-08-09 02:25:01 UTC;290.56;0.00;290.56;0.00;4529.69
NOEYYRYH;60;2017-08-09 02:26:01 UTC;10.82;0.00;10.82;0.00;117.93
