# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
NOEYYRYH;60;2017-07-30 23:41:01 UTC;0.00;849.21;916.57;0.00;510.67;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:42:01 UTC;0.00;299.43;901.60;0.00;491.63;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:43:01 UTC;0.00;849.56;906.99;0.00;508.34;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:44:01 UTC;0.00;306.07;920.30;0.00;494.50;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:45:01 UTC;0.00;846.28;928.04;0.00;516.71;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:46:01 UTC;0.00;300.02;905.15;0.00;488.46;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:47:01 UTC;0.00;847.76;893.68;0.00;504.17;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:48:01 UTC;0.00;303.67;925.57;0.00;496.70;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:49:01 UTC;0.00;855.70;895.06;0.00;503.67;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:50:01 UTC;0.00;297.18;908.02;0.00;492.13;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:51:01 UTC;0.00;848.82;930.09;0.00;521.64;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:52:01 UTC;0.00;298.73;877.20;0.00;481.85;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:53:01 UTC;0.00;851.70;917.55;0.00;509.06;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:54:01 UTC;0.00;305.47;891.81;0.00;490.53;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:55:01 UTC;0.00;846.95;928.96;0.00;510.32;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:56:01 UTC;0.00;300.08;914.37;0.00;497.23;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:57:01 UTC;0.00;847.29;894.43;0.00;504.80;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:58:01 UTC;0.00;304.20;921.13;0.00;494.75;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:59:01 UTC;0.00;855.14;909.52;0.00;507.25;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:00:01 UTC;0.00;297.52;924.44;0.00;499.10;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:01:01 UTC;0.00;849.57;893.56;0.00;504.10;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:02:01 UTC;2.20;302.22;1039.97;0.00;529.56;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:03:01 UTC;0.00;851.50;905.87;0.00;508.42;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:04:01 UTC;0.00;305.62;910.86;0.00;492.90;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:05:01 UTC;0.00;846.75;921.54;0.00;509.20;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:06:01 UTC;0.00;298.70;907.17;0.00;495.03;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:07:01 UTC;0.00;848.75;898.80;0.00;501.72;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:08:01 UTC;0.00;303.75;909.55;0.00;493.08;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:09:01 UTC;0.00;855.68;920.44;0.00;508.57;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:10:01 UTC;0.00;298.30;898.43;0.00;490.68;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:11:01 UTC;0.00;848.29;908.54;0.00;511.46;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:12:01 UTC;0.00;299.55;914.61;0.00;493.70;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:13:01 UTC;0.00;851.83;927.16;0.00;516.89;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:14:01 UTC;0.00;305.94;893.28;0.00;483.31;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:15:01 UTC;0.00;847.69;906.19;0.00;506.54;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:16:01 UTC;0.00;299.30;910.27;0.00;494.46;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:17:01 UTC;0.00;848.35;905.57;0.00;506.25;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:18:01 UTC;0.00;303.18;897.88;0.00;491.30;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:19:01 UTC;0.00;856.70;906.24;0.00;503.10;0.00;0.00;0.00;0.00
